infile,author,dob,dod,gender,wikidata,bnf,viaf,loc,bne,isni,birth_date,death_date,century
"Hierro,José",José Hierro,1922-04-03,2002-12-21,male,Q770123,12265095r,114220271,n79112284,XX947464,0000 0001 2284 2733,1922-04-03T00:00:00Z,2002-12-21T00:00:00Z,<XXI
"Hilario_Tundidor,Jesús",Jesús Hilario Tundidor,1935-01-01,,male,Q5930221,12174930f,84163496,n88628254,XX919292,0000 0001 1030 2625,1935-01-01T00:00:00Z,,<XXI
"Hinojosa,José_María",José María Hinojosa,1904-09-17,1936-08-22,male,Q9014422,15048976b,66751731,n89629498,XX1057306,0000 0000 7977 0278,1904-09-17T00:00:00Z,1936-08-22T00:00:00Z,<XXI
"Horna,José_María_de",José María de Horna,,,,,,,,,,,,XXI
"Huerta,Efraín",Efraín Huertas,1914-06-18,1982-02-20,male,Q5347596,12160900b,118686690,n79107745,XX831531,0000 0001 2148 8736,1914-06-18T00:00:00Z,"1982-02-20T00:00:00Z,1982-02-03T00:00:00Z",<XXI
"Huet,Ingrid",Ingrid Huet,,,,,,,,,,,,XXI
"Huidobro,Vicente",Vicente Huidobro,1893-01-10,1948-01-02,male,Q117018,11907995j,12329,n50046033,XX955145,0000 0001 0854 4676,1893-01-10T00:00:00Z,1948-01-02T00:00:00Z,<XXI
"Ibarbourou,Juana_de",Juana de Ibarbourou,1892-03-08,1979-07-15,female,Q237914,12175938f,100257812,n81086812,XX926912,0000 0001 1496 0406,1892-03-08T00:00:00Z,1979-07-15T00:00:00Z,<XXI
"Icaza,Francisco_A._de",Francisco A. de Icaza,1863-02-02,1925-05-28,male,Q5484131,12407906c,44385271,n81081187,XX1104712,0000 0001 0893 1596,1863-02-02T00:00:00Z,1925-05-28T00:00:00Z,<XXI
"Impaglione,Gabriel",Gabriel Impaglione,,,,,,,,,,,,XXI
"Iriarte,Juan_de",Juan de Iriarte,1702-12-15,1771-08-23,male,Q932759,12407906c,17575244,n94001572,XX1042746,0000 0000 6300 0172,1702-12-15T00:00:00Z,1771-08-23T00:00:00Z,<XXI
"Iriarte,Tomás_de",Tomás de Iriarte,1750-09-18,1791-09-17,male,Q135326,12002537n,4940433,n80053262,XX971256,0000 0001 0864 4079,1750-09-18T00:00:00Z,1791-09-17T00:00:00Z,<XXI
"Istarú,Ana",Ana Istarú,1960-02-03,,female,Q5673805,120291249,41854973,n78047113,XX962403,0000 0000 5954 3756,1960-02-03T00:00:00Z,,<XXI
"Jaimes_Freyre,Ricardo",Ricardo Jaimes Freyre,1868-05-12,1933-04-24,male,Q352570,11990463q,59091901,n80113346,XX1314803,0000 0001 2134 8223,1868-05-12T00:00:00Z,1933-04-24T00:00:00Z,<XXI
"Jensen,Mónica",Mónica Jensen,,,,,,,,,,,,XXI
"Jiménez,Freddy_Emerson",Freddy Emerson Jiménez,,,,,,,,,,,,XXI
"Jiménez,Juan_Ramón",Juan Ramón Jiménez,1881-12-24,1958-05-29,male,Q131318,118866295,59077345,n79005598,XX826262,0000 0001 2280 5385,1881-12-24T00:00:00Z,1958-05-29T00:00:00Z,<XXI
"Jiménez_Domínguez,Jesús",Jesús Jiménez Domínguez,,,,,,,,,,,,XXI
"Jovellanos,Gaspar_Melchor",Gaspar Melchor de Jovellanos,1744-01-05,1811-11-27,male,Q282498,12002541w,88937355,n79135397,XX1030176,0000 0001 0802 8954,1744-01-05T00:00:00Z,1811-11-27T00:00:00Z,<XXI
"Juarroz,Roberto",Roberto Juarroz,1925-10-05,1995-03-31,male,Q1936854,11909165w,49227249,n81042262,XX1125902,0000 0001 0898 3556,1925-10-05T00:00:00Z,1995-03-31T00:00:00Z,<XXI
Kalvhy,Kalvhy,,,,,,,,,,,,XXI
"Kernahan_Selfa,Clifford_Daniel",Clifford Daniel Kernahan Selfa,,,,,,,,,,,,XXI
Kewois,Kewois,,,,,,,,,,,,XXI
"Kiriadre,Graciela",Graciela Kiriadre,,,,,,,,,,,,XXI
"Lacave,Maribel",Maribel Lacave,,,,,,,,,,,,XXI
"Laforet,Antonio",Antonio Laforet,,,,,,,,,,,,XXI
"Lago,Rodrigo_del",Rodrigo del Lago,,,,,,,,,,,,XXI
"Lamet,Pedro_Miguel",Pedro Miguel Lamet,1941-03-13,,male,Q6069521,12184997x,71434342,n81040509,XX952602,0000 0000 8150 9896,1941-03-13T00:00:00Z,,<XXI
"Lan,Or",Or Lan,,,,,,,,,,,,XXI
"Lapeña,Salvador",Salvador Lapeña,,,,,,,,,,,,XXI
"Larrinua,Mery",Mery Larrinua,,,,,,,,,,,,XXI
"Larrosa_Hornos,Isabel",Isabel Larrosa Hornos,,,,,,,,,,,,XXI
"Latger,Philippe",Philippe Latger,,,,,,,,,,,,XXI
"Laurenza,Alejandro",Alejandro Laurenza,,,,,,,,,,,,XXI
"Lavergne,Alfredo",Alfredo Lavergne,,,,,,,,,,,,XXI
"Lay,Milka",Milka Lay,,,,,,,,,,,,XXI
"Lebasi_González,Jorge",Jorge Lebasi González,,,,,,,,,,,,XXI
"Leiro,Jorge",Jorge Leiro,,,,,,,,,,,,XXI
"Lentino,María_Emilia",María Emilia Lentino,,,,,,,,,,,,XXI
"León,Fray_Luis_de",Luis de León,1527-01-01,1591-08-23,male,Q450246,11912469m,7393179,n79065135,XX1719599,0000 0001 2119 2417,1527-01-01T00:00:00Z,1591-08-23T00:00:00Z,<XXI
"León,Rafael_de",Rafael de León,1908-02-06,1982-12-09,male,Q6098121,14766929t,1625318,n90605661,XX4762446,0000 0001 2117 6898,1908-02-06T00:00:00Z,1982-12-09T00:00:00Z,<XXI
"León,Benjamín",Benjamín León,,,,,,,,,,,,XXI
"León,Encarna",Encarna León,,,,,,,,,,,,XXI
"Leonardo_de_Argensola,Bartolomé",Bartolomé Leonardo de Argensola,1562-08-26,1631-02-04,male,Q2155112,12311221x,54214790,n87808600,XX837842,0000 0001 0902 3055,1562-08-26T00:00:00Z,1631-02-04T00:00:00Z,<XXI
"Leonardo_de_Argensola,Lupercio",Lupercio Leonardo de Argensola,1559-12-14,1613-03-02,male,Q2107506,155533260,323616,n93026907,XX1085514,0000 0001 0861 892X,1559-12-14T00:00:00Z,1613-03-02T00:00:00Z,<XXI
"Lera_de_Lera,Emilia_M._de",Emilia M. de Lera de Lera,,,,,,,,,,,,XXI
"Letelier,Elías",Elías Letelier,,,,,,,,,,,,XXI
"Lezama_Lima,José",José Lezama Lima,1910-12-19,1976-08-09,male,Q366949,11912916d,27067652,n80035744,XX961892,0000 0001 2277 6609,1910-12-19T00:00:00Z,1976-08-09T00:00:00Z,<XXI
"Lihn,Enrique",Enrique Lihn Carrasco,1929-09-03,1988-07-10,male,Q3054687,12065664s,33143,n50050157,XX956781,0000 0000 8348 9737,1929-09-03T00:00:00Z,1988-07-10T00:00:00Z,<XXI
"Liscano,Juan",Juan Liscano,1914-07-07,2001-02-16,male,Q6300228,120244467,109503920,n80113163,XX962401,0000 0001 2103 7994,1914-07-07T00:00:00Z,"2001-02-16T00:00:00Z,2001-02-17T00:00:00Z",<XXI
"Lista,Alberto",Alberto Lista,1775-10-15,1848-10-05,male,Q724883,"12532172j,146189084",37169906,n86020731,XX962461,0000 0001 0823 1063,1775-10-15T00:00:00Z,1848-10-05T00:00:00Z,<XXI
"Lizalde,Eduardo",Eduardo Lizalde,,,,,,,,,,,,XXI
"Lizárraga,César",César Lizárraga,,,,,,,,,,,,XXI
"Llorente_Benito,Luis",Luis Llorente Benito,,,,,,,,,,,,XXI
"Lobo_Ríos,Francisco",Francisco Lobo Ríos,,,,,,,,,,,,XXI
"Lopetegui_García,Joseba",Joseba Lopetegui García,,,,,,,,,,,,XXI
Lottie,Lottie,,,,,,,,,,,,XXI
"López,Luis_Carlos",Luis Carlos López,1883-09-11,1950-10-30,male,Q9024972,121973705,284335798,n84054275,XX1139815,0000 0003 9067 8087,1883-09-11T00:00:00Z,1950-01-01T00:00:00Z,<XXI
"Lozano,Manuel",Manuel Lozano,,,,,,,,,,,,XXI
"López,Freddy",Freddy López,,,,,,,,,,,,XXI
"López,Imanol",Imanol López,,,,,,,,,,,,XXI
"López,José_Luis",José Luis López,,,,,,,,,,,,XXI
"López,José_M.",José M. López,,,,,,,,,,,,XXI
"López_de_Ayala,Adelardo",Adelardo López de Ayala y Herrera,1828-05-01,1879-12-30,male,Q354137,14637563b,267848,n82062424,XX877512,0000 0000 8079 7638,1828-05-01T00:00:00Z,1879-12-30T00:00:00Z,<XXI
"López,Pascual",Pascual López,,,,,,,,,,,,XXI
"López_Aboytes,Óscar_E.",Óscar E. López Aboytes,,,,,,,,,,,,XXI
"López_González,Soledad",Soledad López González,,,,,,,,,,,,XXI
"López_Meléndez,Teódulo",Teódulo López Meléndez,,,,,,,,,,,,XXI
"López_Pozo,Marco_Antonio",Marco Antonio López Pozo,,,,,,,,,,,,XXI
"López_Velarde,Ramón",Ramón López Velarde,1888-06-15,1921-06-19,male,Q2620876,121973705,68976435,n84054275,XX1139815,0000 0001 2138 0864,1888-06-15T00:00:00Z,1921-06-19T00:00:00Z,<XXI
"Loynaz,Dulce_María",Dulce María Loynaz,1903-12-10,1997-04-27,female,Q447059,12197194m,64053006,nr88008336,XX1057833,0000 0001 2096 2811,"1903-12-10T00:00:00Z,1902-12-10T00:00:00Z",1997-04-27T00:00:00Z,<XXI
"Lugones,Leopoldo",Leopoldo Lugones,1874-06-13,1938-02-18,male,Q188875,12020670p,54160474,n50048827,XX1045801,0000 0001 0901 9646,1874-06-13T00:00:00Z,1938-02-18T00:00:00Z,<XXI
"Luis,Leopoldo_de",Leopoldo de Luis,1918-05-11,2005-11-20,male,Q369118,120187773,79042377,n79059616,XX903674,0000 0001 0858 802X,1918-05-11T00:00:00Z,2005-11-20T00:00:00Z,<XXI
"Lumbela,Amado",Amado Lumbela,,,,,,,,,,,,XXI
"Luna,Miguel",Miguel Luna,,,,,,,,,,,,XXI
"Lupiáñez,José",José Lupiáñez,,,,,,,,,,,,XXI
"Luzán,Ignacio",Ignacio de Luzán Claramunt de Suelves y Gurrea,1702-03-28,1754-05-19,male,Q3148219,121747270,9889846,n92068023,XX848487,0000 0000 8076 3032,1702-03-28T00:00:00Z,1754-05-19T00:00:00Z,<XXI
"Machado,Antonio",Antonio Machado,1875-07-26,1939-02-22,male,Q243771,11886850j,7385547,n79066067,XX991518,0000 0004 3981 4503,1875-07-26T00:00:00Z,1939-02-22T00:00:00Z,<XXI
"Machado,Manuel",Manuel Machado,1874-08-29,1947-01-19,male,Q577495,12309019j,34524742,n79095615,XX991652,"0000 0001 2023 6887,0000 0004 4035 7805,0000 0003 5438 8488",1874-08-29T00:00:00Z,1947-01-19T00:00:00Z,<XXI
"Machón_Pascual,Ramón_Miguel",Ramón Miguel Machón Pascual,,,,,,,,,,,,XXI
"Madrazo_Vicéns,Pepe",Pepe Madrazo Vicéns,,,,,,,,,,,,XXI
"Madrid,Marco_Antonio",Marco Antonio Madrid,,,,,,,,,,,,XXI
"Madrigal,Adriana",Adriana Madrigal,,,,,,,,,,,,XXI
"Maestro,El",El Maestro,,,,,,,,,,,,XXI
"Maiden,Diana",Diana Maiden,,,,,,,,,,,,XXI
"Mallea_Hernández,W._M.",W. M. Mallea Hernández,,,,,,,,,,,,XXI
"Mamani_Macedo,Porfirio",Porfirio Mamani Macedo,,,,,,,,,,,,XXI
"Manceda,Ana_María",Ana María Manceda,,,,,,,,,,,,XXI
"Manrique,Jorge",Jorge Manrique,1440-01-01,1479-04-24,male,Q389233,11914308m,51692805,n79066679,XX1021804,0000 0001 0900 2174,1440-01-01T00:00:00Z,"1479-04-24T00:00:00Z,1479-03-27T00:00:00Z",<XXI
"Manrique_Preciado,Lila",Lila Manrique Preciado,,,,,,,,,,,,XXI
"Mansilla_Rojas,Migdalia_B.",Migdalia B. Mansilla Rojas,,,,,,,,,,,,XXI
"Mantelli,Pablo",Pablo Mantelli,,,,,,,,,,,,XXI
"Mañoso,José",José Mañoso,,,,,,,,,,,,XXI
"Maples_Arce,Manuel",Manuel Maples Arce,1900-05-01,1981-07-16,male,Q1566333,10111832m,6324880,n84015168,XX1071668,0000 0000 8353 6994,1900-05-01T00:00:00Z,1981-07-16T00:00:00Z,<XXI
Mar,Mar,,,,,,,,,,,,XXI
"Marañón,Rafael",Rafael Marañón,,,,,,,,,,,,XXI
"Marechal,Leopoldo",Leopoldo Marechal,1900-06-11,1970-06-26,male,Q1819994,123742289,46840730,n81090460,XX880008,0000 0001 2131 1148,1900-06-11T00:00:00Z,1970-06-26T00:00:00Z,<XXI
Margazul,Margazul,,,,,,,,,,,,XXI
"Martí,José",José Martí,1853-01-28,1895-05-19,male,Q103285,"120206475,1",73865537,n79081295,XX887485,0000 0001 2139 3681,1853-01-28T00:00:00Z,1895-05-19T00:00:00Z,<XXI
"Martín_Badillo,Diego",Diego Martín Badillo,,,,,,,,,,,,XXI
"Martínez,Daniel_Omar",Daniel Omar Martínez,,,,,,,,,,,,XXI
"Martínez,Fabiana",Fabiana Martínez,,,,,,,,,,,,XXI
"Martínez_Delors,Daniel",Daniel Martínez Delors,,,,,,,,,,,,XXI
"Martínez_de_la_Rosa,Francisco",Francisco de Paula Martínez de la Rosa y Berdejo,1787-03-10,1862-02-07,male,Q27357,12172718j,"168954530,1",n85342393,XX1005642,"0000 0001 1802 1027,0000 0001 1797 6243",1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,<XXI
"Martínez_Guerrero,Sandra",Sandra Martínez Guerrero,,,,,,,,,,,,XXI
"Martínez_Gutiérrez,Jesús",Jesús Martínez Gutiérrez,,,,,,,,,,,,XXI
"Martínez_Lara,Dora_Leticia",Dora Leticia Martínez Lara,,,,,,,,,,,,XXI
"Martínez_Moreno,Irene",Irene Martínez Moreno,,,,,,,,,,,,XXI
"Martínez_Oyola,Waldemar",Waldemar Martínez Oyola,,,,,,,,,,,,XXI
"Martínez_Sánchez,José_Manuel",José Manuel Martínez Sánchez,,,,,,,,,,,,XXI
"Martínez_Estrada,Ezequiel",Ezequiel Martínez Estrada,1895-09-14,1964-11-04,male,Q464737,11886904n,46755849,n50052459,XX1145014,0000 0001 0857 1551,1895-09-14T00:00:00Z,"1964-11-04T00:00:00Z,1964-11-03T00:00:00Z",<XXI
"Marzal,Carlos",Carlos Marzal,1961-01-01,,male,Q6404401,15047073k,6069691,no92020150,XX902305,0000 0000 7827 8708,1961-01-01T00:00:00Z,,<XXI
"Mateos-Cano,Fran",Fran Mateos-Cano,,,,,,,,,,,,XXI
"Matos_Paoli,Francisco",Francisco Matos Paoli,1915-03-09,2000-07-10,male,Q3081899,12055773t,54168069,n50045146,XX859945,0000 0000 7827 4563,1915-03-09T00:00:00Z,2000-07-10T00:00:00Z,<XXI
"Maury,Juan_María",Juan María Maury,1772-01-01,1845-01-01,male,Q5980307,146189022,12559212,n50045146,XX4580072,0000 0001 1597 0489,1772-01-01T00:00:00Z,1845-01-01T00:00:00Z,<XXI
"Maya,Rafael",Rafael Maya,1897-01-01,1980-07-22,male,Q6097641,12025648q,7404272,n84037026,XX1361659,0000 0000 6632 2310,1897-01-01T00:00:00Z,1980-07-22T00:00:00Z,<XXI
"Márquez_Cristo,Gonzalo",Gonzalo Márquez Cristo,,,,,,,,,,,,XXI
"Medina,Gustavo_Adolfo",Gustavo Adolfo Medina,,,,,,,,,,,,XXI
"Medina,Jorge",Jorge Medina,,,,,,,,,,,,XXI
"Medrano,Francisco_de",Francisco Medrano,1570-01-01,1607-01-01,male,Q5483695,12117613h,"27098048,19",n86016517,XX915647,0000 0001 1610 7724,1570-01-01T00:00:00Z,1607-01-01T00:00:00Z,<XXI
"Mejía_Sánchez,Gamaliel_José",Gamaliel José Mejía Sánchez,,,,,,,,,,,,XXI
"Meléndez,Mario",Mario Meléndez,,,,,,,,,,,,XXI
"Meléndez_Valdés,Juan",Juan Meléndez Valdés,1754-03-11,1817-05-24,male,Q2415144,12060421r,34478520,n79089208,XX1136317,0000 0001 0886 3271,1754-03-11T00:00:00Z,1817-05-24T00:00:00Z,<XXI
"Melgar_Becerra,Juan_Miguel",Juan Miguel Melgar Becerra,,,,,,,,,,,,XXI
"Mena,Juan_de",Juan de Mena,1411-01-01,1456-01-01,male,Q388140,12030957h,9862287,n79018499,XX956076,0000 0001 2120 1483,1411-01-01T00:00:00Z,1456-01-01T00:00:00Z,<XXI
"Mendizábal_R.,Lucía",Lucía Mendizábal R.,,,,,,,,,,,,XXI
"Mier_Garza,Ángel",Ángel Mier Garza,,,,,,,,,,,,XXI
"Miguel,Valentín_de",Valentín de Miguel,,,,,,,,,,,,XXI
"Minore,Gito",Gito Minore,,,,,,,,,,,,XXI
"Mira_de_Amescua,Antonio",Antonio Mira de Amescua,1577-01-17,1636-01-01,male,Q1773549,11886997g,100192419,n81089864,XX1154933,0000 0001 1453 2487,1577-01-17T00:00:00Z,1636-01-01T00:00:00Z,<XXI
"Miralles,Isabel",Isabel Miralles,,,,,,,,,,,,XXI
"Miranda,Sinda",Sinda Miranda,,,,,,,,,,,,XXI
"Mistral,Gabriela",Gabriela Mistral,1889-04-07,1957-01-10,female,Q80871,12020618k,44311414,n50033817,XX1720984,"0000 0003 6860 3433,0000 0001 1631 1450",1889-04-07T00:00:00Z,1957-01-10T00:00:00Z,<XXI
"Molina,Darío_Arístides",Darío Arístides Molina,,,,,,,,,,,,XXI
"Molinari,Ricardo_E.",Ricardo Molinari,1898-03-23,1996-07-31,male,Q1340128,123761213,22221596,n83185257,XX1174016,0000 0000 5929 3056,1898-03-23T00:00:00Z,1996-07-31T00:00:00Z,<XXI
"Molinaro,Bruno",Bruno Molinaro,,,,,,,,,,,,XXI
"Montejo,Eugenio",Eugenio Montejo,1938-10-19,2008-06-05,male,Q336535,12160612h,2511064,n83800495,XX968356,0000 0000 8081 7897,1938-10-19T00:00:00Z,"2008-06-05T00:00:00Z,2008-06-06T00:00:00Z",<XXI
"Montemayor,Emilio",Emilio Montemayor,,,,,,,,,,,,XXI
"Montobbio,Santiago",Santiago Montobbio,1966-01-01,,male,Q93419548,12160612h,32094633,no2011097946,XX1230969,0000 0001 2017 6351,1966-01-01T00:00:00Z,,<XXI
"Montoly,Daniel_J.",Daniel J. Montoly,,,,,,,,,,,,XXI
"Monzón,Marta",Marta Monzón,,,,,,,,,,,,XXI
"Moore,Esteban",Esteban Moore,,,,,,,,,,,,XXI
"Mor,Dolan",Dolan Mor,,,,,,,,,,,,XXI
"Mora,José_Joaquín_de",José Joaquín de Mora,1783-01-10,1864-01-01,male,Q5940827,12295741c,74906,n84143355,XX944168,0000 0001 0861 2042,1783-01-10T00:00:00Z,1864-01-01T00:00:00Z,<XXI
"Mora,Pablo",Pablo Mora,,,,,,,,,,,,XXI
"Morales,Carlos_Javier",Carlos Javier Morales,,,,,,,,,,,,XXI
"Morales,Rafael",Rafael Morales,1919-07-31,2005-06-29,male,Q5405617,13333734p,41987410,n79144862,XX848145,0000 0001 1568 1484,1919-07-31T00:00:00Z,2005-06-29T00:00:00Z,<XXI
"Morales_Rojas,Juan",Juan Morales Rojas,,,,,,,,,,,,XXI
"Moreno_Villa,José",José Moreno Villa,1887-02-16,1955-04-25,male,Q981658,12144713p,47429,n50014866,XX1164589,0000 0001 1203 6746,1887-02-16T00:00:00Z,1955-04-25T00:00:00Z,<XXI
"Moya_Zúñiga,Jaime",Jaime Moya Zúñiga,,,,,,,,,,,,XXI
"Muci,Maruja",Maruja Muci,,,,,,,,,,,,XXI
"Munárriz,Jesús",Jesús Munárriz,1940-01-01,,male,Q510271,12144713p,35155003,n50066181,XX1009631,0000 0001 0887 3277,1940-01-01T00:00:00Z,,<XXI
"Muñiz,Lucía",Lucía Muñiz,,,,,,,,,,,,XXI
"Muñiz_Álvarez_del_Castillo,Benjamín",Benjamín Muñiz Álvarez del Castillo,,,,,,,,,,,,XXI
"Muñoz,Ámbar",Ámbar Muñoz,,,,,,,,,,,,XXI
"Murillo_García,José",José Murillo García,,,,,,,,,,,,XXI
"Mutis,Álvaro",Álvaro Mutis,1923-08-25,2013-09-22,male,Q251123,12027629x,113770418,n84804395,XX1014327,0000 0001 2148 2406,1923-08-25T00:00:00Z,2013-09-22T00:00:00Z,<XXI
"Nachón,Fernando",Fernando Nachón,,,,,,,,,,,,XXI
"Nalé_Roxlo,Conrado",Conrado Nalé Roxlo,1898-02-15,1971-07-02,male,Q1127112,"124457828,11186015m",64099989,nr88008132,"XX897583,XX1343839",0000 0001 0782 7041,"1898-02-15T00:00:00Z,1896-01-15T00:00:00Z",1971-07-02T00:00:00Z,<XXI
"Nanjari_Román,Ricardo",Ricardo Nanjari Román,,,,,,,,,,,,XXI
"Nanni_Arias,Catriel",Catriel Nanni Arias,,,,,,,,,,,,XXI
"Napolitano,Martha",Martha Napolitano,,,,,,,,,,,,XXI
"Narelio,Heber",Heber Narelio,,,,,,,,,,,,XXI
"Nava,Jessica",Jessica Nava,,,,,,,,,,,,XXI
"Nazario,Amadeo",Amadeo Nazario,,,,,,,,,,,,XXI
"Neira,Vicente",Vicente Neira,,,,,,,,,,,,XXI
"Nené,Tiago",Tiago Nené,,,,,,,,,,,,XXI
"Neruda,Pablo",Pablo Neruda,1904-07-12,1973-09-23,male,Q34189,118871020,95126958,n79046560,XX1024955,0000 0001 2144 0986,1904-07-12T00:00:00Z,1973-09-23T00:00:00Z,<XXI
"Nervo,Amado",Amado Nervo,1870-08-27,1919-05-24,male,Q452130,12409548p,97487,n81004395,XX1081429,0000 0001 0861 3678,1870-08-27T00:00:00Z,1919-05-24T00:00:00Z,<XXI
"Nire,Ártemis",Ártemis Nire,,,,,,,,,,,,XXI
"Nonino,Gian",Gian Nonino,,,,,,,,,,,,XXI
"Noroña,Conde_de",Gaspar María de Nava,1760-05-06,1815-01-01,male,Q5875829,11186015m,5361948,nr99019653,XX1223976,0000 0000 7969 923X,1760-05-06T00:00:00Z,1815-01-01T00:00:00Z,<XXI
"Novo,Salvador",Salvador Novo,1904-07-30,1974-01-13,male,Q63667,12408362f,34544490,n79056065,XX1050073,0000 0001 0886 6915,1904-07-30T00:00:00Z,1974-01-13T00:00:00Z,<XXI
"Núñez_de_Arce,Gaspar",Gaspar Núñez de Arce,1832-08-04,1903-06-09,male,Q64652,145247137,32232312,n87893553,XX879300,0000 0000 8369 700X,"1832-08-04T00:00:00Z,1834-08-04T00:00:00Z",1903-06-09T00:00:00Z,<XXI
"Oceana,Oceana",Oceana Oceana,,,,,,,,,,,,XXI
"Odio,Eunice",Eunice Odio,1919-10-18,1974-03-23,female,Q5850856,12054518w,86866382,n84072814,XX879300,0000 0001 1862 4880,1919-10-18T00:00:00Z,1974-03-23T00:00:00Z,<XXI
"Olazábal,Juana",Juana Olazábal,,,,,,,,,,,,XXI
"Olevsky,Eitan",Eitan Olevsky,,,,,,,,,,,,XXI
"Oliver,José_A.",José A. Oliver,,,,,,,,,,,,XXI
"Olmedo_Baratta,José_Mario",José Mario Olmedo Baratta,,,,,,,,,,,,XXI
"Ongay,Íñigo",Íñigo Ongay,,,,,,,,,,,,XXI
Orión_de_Panthoseas,Orión de Panthoseas,,,,,,,,,,,,XXI
"Orozco,Olga",Olga Orozco,1920-03-17,1999-08-15,female,Q467091,121149933,84167445,n81071804,XX877076,0000 0001 2282 4447,1920-03-17T00:00:00Z,1999-08-15T00:00:00Z,<XXI
"Ors,Eugenio_D'",Eugeni d'Ors,1881-09-28,1954-09-26,male,Q930679,11887168x,59077528,n79084267,XX983819,"0000 0003 6864 2459,0000 0003 6864 2432,0000 0001 2134 7562,0000 0003 6864 2440","1881-09-28T00:00:00Z,1881-09-18T00:00:00Z",1954-09-26T00:00:00Z,<XXI
"Ortega,José_María",José María Ortega,,,,,,,,,,,,XXI
"Ortiz,Alberto",Alberto Ortiz,,,,,,,,,,,,XXI
"Ortiz_Fernández,Pablo",Pablo Ortiz Fernández,,,,,,,,,,,,XXI
"Ortiz_Galeano,Juan_Ramón",Juan Ramón Ortiz Galeano,,,,,,,,,,,,XXI
"Ory,Carlos_Edmundo_de",Carlos Edmundo de Ory,1923-04-27,2010-11-11,male,Q2939337,12025276v,79044779,n79127130,XX995751,0000 0001 1936 5606,1923-04-27T00:00:00Z,2010-11-11T00:00:00Z,<XXI
"Oscós,Godofredo",Godofredo Oscós,,,,,,,,,,,,XXI
"Osinnik,Anfisa",Anfisa Osinnik,,,,,,,,,,,,XXI
"Oteo,Arantxa",Arantxa Oteo,,,,,,,,,,,,XXI
"Otero,Blas_de",Blas de Otero,1916-03-15,1979-06-29,male,Q881756,120378348,22158847,n79004114,XX1020254,0000 0001 1022 4268,1916-03-15T00:00:00Z,1979-06-29T00:00:00Z,<XXI
"Otero_Dapena,Juan_Carlos",Juan Carlos Otero Dapena,,,,,,,,,,,,XXI
"Otero_Silva,Miguel",Miguel Otero Silva,1908-10-26,1985-08-28,male,Q2619780,119182623,88977074,n79085038,XX1022335,0000 0001 1030 7354,1908-10-26T00:00:00Z,"1986-08-28T00:00:00Z,1985-08-27T00:00:00Z",<XXI
"Othón,Manuel_José",Manuel José Othón,1858-06-14,1906-11-28,male,Q6752655,12054036f,51709430,n80117165,XX1316777,0000 0001 1762 9639,1858-06-14T00:00:00Z,1906-11-28T00:00:00Z,<XXI
"Ouro_Agromartín,Mª_Dolores",Mª Dolores Ouro Agromartín,,,,,,,,,,,,XXI
"Oyague_Pásara,Carlos",Carlos Oyague Pásara,,,,,,,,,,,,XXI
"Pacherres,Marvin_Augusto",Marvin Augusto Pacherres,,,,,,,,,,,,XXI
"Padula_Perkins,Jorge_Eduardo",Jorge Eduardo Padula Perkins,,,,,,,,,,,,XXI
"Palacio,Manuel_del",Manuel del Palacio,1831-12-24,1906-06-05,male,Q5994820,135575387,2636638,n86020587,XX912058,0000 0001 1035 517X,1831-12-24T00:00:00Z,1906-06-05T00:00:00Z,<XXI
"Palacios,Zacarías",Zacarías Palacios,,,,,,,,,,,,XXI
"Palés_Matos,Luis",Luis Palés Matos,1898-03-20,1959-02-23,male,Q1860436,11990415v,41849232,n79070082,XX1013045,0000 0001 0891 0138,1898-03-20T00:00:00Z,1959-02-23T00:00:00Z,<XXI
"Pallais,Azarías_H.",Azarías Pallais,1884-11-03,1954-09-06,male,Q4832284,12554864r,46875642,n80045202,XX1351353,0000 0001 1761 4760,1884-11-03T00:00:00Z,1954-09-06T00:00:00Z,<XXI
"Panero,Juan_Luis",Juan Luis Panero,1942-09-09,2013-09-16,male,Q3753690,12164721q,95557809,n85159273,XX1045944,0000 0001 0927 513X,1942-09-09T00:00:00Z,2013-09-16T00:00:00Z,<XXI
"Panero,Leopoldo",Leopoldo Panero,1909-10-17,1962-08-27,male,Q594046,12020655s,56622405,n50050294,XX1046075,0000 0001 2134 0694,1909-10-17T00:00:00Z,1962-08-27T00:00:00Z,<XXI
"Panero,Leopoldo_María",Leopoldo María Panero,1948-06-16,2014-03-05,male,Q2492740,12068159j,66489468,n80051588,XX1639349,0000 0001 1068 2269,1948-06-16T00:00:00Z,2014-03-05T00:00:00Z,<XXI
"Pardo_García,Germán",Germán Pardo García,1902-07-19,1991-08-23,male,Q5878790,12489844s,95314520,n50080389,XX1046743,0000 0001 1690 1581,1902-07-19T00:00:00Z,1991-08-23T00:00:00Z,<XXI
"Paredes,Pablo",Pablo Paredes,,,,,,,,,,,,XXI
"Parra,Nicanor",Nicanor Parra,1914-09-05,2018-01-23,male,Q360832,121200032,19710563,n50050784,XX1059168,0000 0001 1603 7906,1914-09-05T00:00:00Z,2018-01-23T00:00:00Z,<XXI
"Parra_Pozuelo,Manuel",Manuel Parra Pozuelo,,,,,,,,,,,,XXI
